,,,Issues matured on 09 December 2019,,,,,
ST,Security,Issue,Issue Description,Coupon,Issue Date,Maturity Date,Rating,Listed
SG,AP19A,8.26%,SDL ANDHRA PRADESH 8.26% 2019,8.2600,09-Dec-2009,09-Dec-2019,,Yes
SG,BIH19A,8.35%,SDL BIHAR 8.35% 2019,8.3500,09-Dec-2009,09-Dec-2019,,Yes
SG,GUJ19A,8.27%,SDL GUJARAT 8.27% 2019,8.2700,09-Dec-2009,09-Dec-2019,,Yes
SG,HARY19A,8.27%,SDL HARYANA 8.27% 2019,8.2700,09-Dec-2009,09-Dec-2019,,Yes
SG,HP19A,8.26%,SDL HIMACHAL PRADES 8.26%2019,8.2600,09-Dec-2009,09-Dec-2019,,Yes
SG,MP19A,8.32%,SDL MADHYA PRADESH 8.32% 2019,8.3200,09-Dec-2009,09-Dec-2019,,Yes
SG,TN19A,8.26%,SDL TAMIL NADU 8.26% 2019,8.2600,09-Dec-2009,09-Dec-2019,,Yes
SG,NAG19A,8.26%,SDL NAGALAND 8.26% 2019,8.2600,09-Dec-2009,09-Dec-2019,,Yes
SG,PUD19A,8.30%,UTL PONDICHERRY 8.30% 2019,8.3000,09-Dec-2009,09-Dec-2019,,Yes
SG,RAJ19A,8.26%,SDL RAJASTHAN 8.26% 2019,8.2600,09-Dec-2009,09-Dec-2019,,Yes
BP,BOID,RESET,BOI PERP BD RESET (S-V),9.0000,09-Dec-2009,09-Dec-2019,CRISIL AAA,Yes
BB,ICIC19,8.75%,ICICI BANK 8.75%  S-DDE09LT2,8.7500,09-Dec-2009,09-Dec-2019,ICRA LAAA,Yes
PT,PFC19,8.52%,PWR FIN 8.52% 19 TAX(SR-124A),8.5200,09-Dec-2014,09-Dec-2019,ICRA AAA,Yes
DB,FICC19,9.42%,FULLERTON IND9.42%2019SR-30B,9.4200,09-Dec-2014,09-Dec-2019,CARE AAA,Yes
DC,CFIL19X,RESET,CITCP FIN NFILK 19 S1701652 T1,0.0000,08-Sep-2017,09-Dec-2019,ICRA AAA,Yes
