Trade date,Sectype,Security,Issue Name,Settl Days,Trade Type,No.of Trades,Traded Value (Rs.Cr.),Low Price/Rate,High Price/Rate,Last Traded Price/Rate,Value Weighted Average Price/Rate,Weighted YTM
09-Dec-2019,DB,HDFC20,8.70%,1,NR,1,50.00,101.8786,101.8786,101.8786,101.8786,6.7000
09-Dec-2019,DB,LICH20,8.14%,1,NR,1,90.00,101.0589,101.0589,101.0589,101.0589,6.7000
09-Dec-2019,DB,LICH22,8.595,1,NR,2,150.00,102.4563,102.4563,102.4563,102.4563,7.2700
09-Dec-2019,GS,CG2024,9.15%,1,NR,2,100.00,110.7200,110.7300,110.7200,110.7250,6.5652
09-Dec-2019,GS,CG2025,7.72%,1,NR,1,90.00,104.8733,104.8733,104.8733,104.8733,6.6400
09-Dec-2019,GS,CG2027,8.24%,1,NR,2,100.00,107.3900,107.3900,107.3900,107.3900,6.9141
09-Dec-2019,ID,NBRD20,6.98%,1,NR,2,105.00,100.7240,100.7318,100.7318,100.7251,5.9986
09-Dec-2019,SG,GUJ21,8.78%,1,NR,2,35.00,104.6934,104.6934,104.6934,104.6934,6.2800
09-Dec-2019,SG,KRN22,8.69%,1,NR,1,50.00,104.5949,104.5949,104.5949,104.5949,6.3000
09-Dec-2019,SG,MAH22,8.66%,1,NR,1,50.00,104.6134,104.6134,104.6134,104.6134,6.3000
09-Dec-2019,SG,TN22,8.66%,1,NR,2,111.00,104.5730,104.5730,104.5730,104.5730,6.3200
09-Dec-2019,SG,TN22,8.72%,1,NR,2,70.00,104.6130,104.6527,104.6527,104.6470,6.3029
09-Dec-2019,TB,182D,190320,1,NR,2,424.03,98.6353,98.6353,98.6353,98.6353,5.0500
